Role,Role Key,Name,Email,Email Code,Phone Number,Location,State
Representative,2,Doris Matsui,https://matsui.house.gov/contact/contactform.htm?zip5=95814&zip4=&g-recaptcha-response=03AGdBq26Rni0c-CB1syoQ0WSDluMcgRZJbDWOzfffGlyZeeIhcK1DmMW8MNKE5921EYrSSCICmcDH4hptRcLtnOxit_tEt3X6QcCJkJLJgxJhYXMrUanXMEVFPB40-6hGf_rQDBcOtq1YDNDKY_IA2uKgPdC2lr449MxSyc3XwXNcP_pmDx8iNObuc9qtj4OLsW1aaoXqpxq8BtLPLDBObSSu7fluQK5EzXRy2U5bb4NbhOcwz2Cg9E0yQ7zlWiP-6riMuhHdu5H3t4xaHZeBorwAoOhDs1mHU5Sx99i2MQTN3ghbri4FioJ4l9diyVsQ6se9WlQBbTUFAfPS5utbit7CXgJ8Ihv8D37mwLwEKYy9Rnr41gReIvION2Dq8yJ8HPtbugJfkOF-XkpgsRU0O4hiHOvtevxJKyR2vJsKaqayCgj57XgTzLC6a_pq6kRN95Io9VaIOGfU,2,916-498-5600,Sacramento,CA
Chief of Police,4,Daniel Hahn,https://www.cityofsacramento.org/Police/Contact/Email-PD,2,916-808-0800,Sacramento,CA
Mayor,1,Sam Liccardo,mayoremail@sanjoseca.gov,1,408-535-3500,San Jose,CA
District Attorney,3,Jeffrey Rosen,jrosen@dao.sccgov.org,1,408-299-3099,San Jose,CA
Representative,2,Zoe Lofgren,info@zoelofgren.com,1,408-271-8700,San Jose,CA
Chief of Police,4,Eddie Garcia,https://www.sjpd.org/_forms/contactform.asp?strTopic=chief_of_police,2,408-277-8900,San Jose,CA
Governor,1,Jared Polis, Governorpolis@state.co.us,1,303-866-2471,Colorado,CO
Senator,2,Cory Gardner,cory@corygardner.com,1,202-224-5941,Colorado,CO
Senator,2,Michael Bennet,senator@bennet.senate.gov,1,202-224-5852,Colorado,CO
Mayor,1,Michael Hancock,mayorsoffice@denvergov.org,1,720-865-9000,Denver,CO
District Attorney,3,Beth McCann,info@denverda.org,1,720-913-9000,Denver,CO
Representative,2,Diana DeGette,https://degette.house.gov/contact/send-me-an-email/email-me,2,202-225-4431,Denver,CO
Chief of Police,4,Paul Pazen,,,303-342-2300,Denver,CO
Mayor,1,Muriel Bowser,eom@dc.gov,1,202-727-2643,Washington,DC
At-Large Representative,2,Eleanor Norton,https://norton.house.gov/zip-code-lookup?form=/contact/email-me,2,202-408-9041,Washington,DC
U.S. Attorney,3,Michael R. Sherwin,michael.sherwin@usdoj.gov,1,202-252-7566,Washington,DC
Chief of Police,4,Peter Newsham,peter.newsham@dc.gov,1,202-727-9099,Washington,DC
Governor,1,Ron DeSantis,governorron.desantis@eog.myflorida.com,1,850-488-7146,Florida,FL
Senator,2,Rick Scott,https://www.rickscott.senate.gov/contact_rick,2,202-224-5274,Florida,FL
Senator,2,Marco Rubio,https://www.rubio.senate.gov/public/index.cfm/contact,2,202-224-3041,Florida,FL
Mayor,1,Jane Castor,mayor@tampagov.net,1,813-274-8251,Tampa,FL
State Attorney,3,Andrew H. Warren,homepage@sao13th.com,1,813-272-5400,Tampa,FL
Representative,2,Kathy Castor,info@castorforcongress.com,1,813-871-2817,Tampa,FL
Chief of Police,4,Brian Dugan,https://apps.tampagov.net/appl_customer_service_center/form.asp?strServiceID=67,1,813-276-3200,Tampa,FL
Mayor,1,Keisha Lance Bottoms,keisha@keishalancebottoms.com,1,404-343-6278,Atlanta,GA
District Attorney,3,Paul L. Howard Jr. ,Paul.Howard@fultoncountyga.gov,1,404-612-4981,Atlanta,GA
Representative,2,John Lewis,info@johnlewisforcongress.com,1,202-225-3801,Atlanta,GA
Chief of Police,4,Erika Shields,apdwebmaster@atlantaga.gov,1,404-546-6900,Atlanta,GA
Governor,1,Brian Kemp,https://gov.georgia.gov/contact-us/constituent-services,2,404-656-1776,Georgia,GA
Senator,2,David Perdue,info@perduesenate.com,1,202-224-3521,Georgia,GA
Senator,2,Kelly Loeffler,info@kellyforsenate.com,1,202-224-3643,Georgia,GA
Mayor,1,Frank Cownie,fcownie@dmgov.org,1,515-283-4944,Des Moines,IA
County Attorney,3,John P. Sarcone,tyatty@polkcountyiowa.gov,1,515-286-3737,Des Moines,IA
Representative,2,Cynthia Axne,https://axne.house.gov/zip-code-lookup?form=/contact/email-me,2,202-225-5476,Des Moines,IA
Chief of Police,4,Dana Wingert,PoliceChief@dmgov.org,1,515-283-4800,Des Moines,IA
Governor,1,Kim Reynolds,https://iqconnect.lmhostediq.com/iqextranet/EForm.aspx?__cid=FSL_IA_GOV&__fid=100007,2,515-281-5211,Iowa,IA
Senator,2,Joni Ernst,info@joniernst.com,1,202-224-3254,Iowa,IA
Senator,2,Chuck Grassley,https://www.grassley.senate.gov/constituents/questions-and-comments,2,202-224-3744,Iowa,IA
Mayor,1,Lori Lightfoot,letterforthemayor@cityofchicago.org,1,312-744-5000,Chicago,IL
State's Attorney,3,Kimbrley M. Foxx,statesattorney@cookcountyil.gov,1,312-603-1880,Chicago,IL
Representative,2,Danny Davis,dkd@dkdcongress.com,1,202-225-5006,Chicago,IL
Superintendent of Police,4,Charlie Beck,policecommission@lapd.online,1,877-275-5273,Chicago,IL
Governor,1,J.B. Pritzker,https://www2.illinois.gov/sites/gov/contactus/Pages/VoiceAnOpinion.aspx,2,312-814-2121,Illinois,IL
Senator,2,Richard Durbin,info@dickdurbin.com,1,202-224-2152,Illinois,IL
Senator,2,Tammy Duckworth,https://www.duckworth.senate.gov/help/email-tammy,2,202-224-2854,Illinois,IL
Mayor,1,Lloyd Winnecke,mayor@evansville.in.gov,1,812-435-5000,Evansville,IN
District Attorney,3,Nicholas Hermann,ipacinfo@ipac.in.gov,1,812-435-5150,Evansville,IN
Representative,2,Larry Bucshon,info@bucshonforcongress.com,1,812-465-6484,Evansville,IN
Chief of Police,4,Billy Bolin,info@evansvillepolice.com,1,812-436-7896,Evansville,IN
Governor,1,Eric Holcomb,https://www.in.gov/gov/2752.htm,2,317-232-4567,Indiana,IN
Senator,2,Mike Braun,https://www.braun.senate.gov/contact-mike,2,317-822-8240,Indiana,IN
Senator,2,Todd Young,https://www.young.senate.gov/contact/email-todd,2,317-226-6700,Indiana,IN
Governor,1,Andy Beshear,https://governor.ky.gov/contact/contact-us,2,502-564-2611,Kentucky,KY
Senator,2,Mitch McConnell,contact@teammitch.com,1,202-224-2541,Kentucky,KY
Senator,2,Rand Paul,rand_paul@paul.senate.gov,1,202-224-4343,Kentucky,KY
Attorney General,3,Daniel Cameron,info@danieljaycameron.com,1,502-696-5300,Kentucky,KY
Mayor,1,Greg Fischer,Greg.Fischer@louisvilleky.gov,1,502-574-2003,Louisville,KY
Commonwealth's Attorney,3,Thomas B. Wine,winejcooke@louisvilleprosecutor.com,1,502-595-2300,Louisville,KY
Representative,2,John Yarmuth,https://yarmuth.house.gov/contact-john2/,2,202-225-5401,Louisville,KY
LMPD Chief,4,Robert Schroeder,https://louisvilleky.gov/eform/submit/contact-major-robert-schroeder,2,502-574-7660,Louisville,KY
Mayor,1,Martin J. Walsh,mayor@boston.gov,1,617-635-4500,Boston,MA
District Attorney,3,Rachel Rollins,team@rollins4da.com,1,617-619-4000,Boston,MA
Representative,2,Stephen Lynch,stephen.lynch@mail.house.gov,1,202-225-8273,Boston,MA
Police Comissioner,4,William Gross,mediarelations@pd.boston.gov,1,617-343-4500,Boston,MA
Governor,1,Charlie Barker,constituent.services@state.ma.us,1,617-725-4005,Massachusetts,MA
Senator,2,Elizabeth Warren,info@elizabethwarren.com,1,202-224-4543,Massachusetts,MA
Senator,2,Ed Markey,info@edmarkey.com,1,202-244-2742,Massachusetts,MA
Mayor,1,Bernard Young,mayor@baltimorecity.gov,1,410-396-3835,Baltimore,MD
State's Attorney,3,Marilyn Mosby,mmosby@stattorney.org,1,443-984-6000,Baltimore,MD
Representative,2,Kweisi Mfume,https://mfume.house.gov/zip-code-lookup?form=/contact/email-me,2,202-225-4741,Baltimore,MD
Chief of Police,4,Michael Harrison,https://www.baltimorepolice.org/baltimore-police-department-general-inquires,2,410-396-2411,Baltimore,MD
Governor,1,Larry Hogan,contact@maryland.gov,1,410-974-3901,Maryland,MD
Senator,2,Ben Cardin,https://www.cardin.senate.gov/contact/email-ben,2,410-962-4436,Maryland,MD
Senator,2,Chris Van Hollen,https://www.vanhollen.senate.gov/contact/email,2,301-545-1500,Maryland,MD
Mayor,1,Mike Duggan,emailmayorduggan@detroitmi.gov,1,313-224-3400,Detroit,MI
Prosecuting Attorney,3,Kym L. Worthy,prosecutor@waynecounty.com,1,313-224-5777,Detroit,MI
Representative,2,Rashida Tlaib,rashida@mail.house.gov,1,202-225-5126,Detroit,MI
Chief of Police,4,James Craig,Chiefofpolice@dpdhq.detroit.mi.us,1,313-596-2200,Detroit,MI
Governor,1,Gretchen Whitmer,https://somgovweb.state.mi.us/GovRelations/ShareOpinion.aspx,2,517-373-3400,Michigan,MI
Senator,2,Gary Peters,info@petersformichigan.com,1,202-224-6221,Michigan,MI
Senator,2,Debbie Stabenow,senator@stabenow.senate.gov,1,202-224-4822,Michigan,MI
County Attorney,3,Michael Freeman,Minneapolis311@minneapolismn.gov,1,612-348-5550,Minneapolis,MN
County Attorney,3,Michael Freeman,citizeninfo@hennepin.us,1,612-348-5550,Minneapolis,MN
Mayor,1,Jacob Frey,Jacob.Frey@minneapolismn.gov,1,612-673-2100,Minneapolis,MN
Representative,2,Ilhan Omar,info@ilhanomar.com,1,202-225-4755,Minneapolis,MN
Chief of Police,4,Medaria Arradondo,policepio@minneapolismn.gov,1,612-673-2735,Minneapolis,MN
Governor,1,Tim Walz,https://mn.gov/governor/contact/,2,651-201-3400,Minnesota,MN
Senator,2,Amy Klobuchar,senator@klobuchar.senate.gov,1,202-224-3244,Minnesota,MN
Senator,2,Tina Smith,info@tinaforminnesota.com,1,202-224-5641,Minnesota,MN
Mayor,1,Ella Jones ,ejones@fergusoncity.com,1,314-521-7721,Ferguson,MO
Prosecuting Attorney,3,Wesley Bell,https://www.stlouiscountyprosecutingattorney.com/contact-us,2,314-615-2600,Ferguson,MO
Representative,2,Blaine Luetkemeyer,https://luetkemeyer.house.gov/contact/,2,573-635-7232 ,Ferguson,MO
Chief of Police,4,Jason Armstrong,jarmstrong@fergusoncity.com,1,314-522-3100,Ferguson,MO
Mayor,1,Quinton Lucas,MayorQ@kcmo.org,1,816-513-3500,Kansas City,MO
Prosecuting Attorney,3,Jean Peters Baker,,,816-881-3555,Kansas City,MO
Representative,2,Emanuel Cleaver II,https://cleaver.house.gov/contact/email-me,2,816-842-4545,Kansas City,MO
Chief of Police,4,Richard Smith,patroldivision@libertymo.gov,1,816-234-5010,Kansas City,MO
Governor,1,Mike Parson,https://governor.mo.gov/contact-us,2,573-751-3222,Missouri,MO
Senator,2,Joshua Hawley,https://www.hawley.senate.gov/contact-senator-hawley,2,816-960-4694,Missouri,MO
Senator,2,Roy Blunt,https://www.blunt.senate.gov/contact/contact-roy,2,573-442-8151,Missouri,MO
Mayor,1,Lyda Krewson,krewsonl@stlouis-mo.gov,1,314-622-3201,St. Louis,MO
Prosecuting Attorney,3,Kimberly M. Gardner,caocommunications@stlouiscao.org,1,314-622-4941,St. Louis,MO
Representative,2,Lacy Clay Jr.,info@lacyclay.org,1,314-367-1970,St. Louis,MO
Chief of Police,4,John Hayden,,,314-231-1212,St. Louis,MO
Mayor,1,Vi Lyles,mayor@charlottenc.gov,1,704-336-2241,Charlotte,NC
District Attorney,3,Spencer Merriweather,http://charmeckda.com/CRCommunityOutReach.php,2,704-686-0700,Charlotte,NC
Representative,2,Alma Adams,alma@almaadamsforcongress.com,1,704-344-9950,Charlotte,NC
Chief of Police,4,Kerr Putney,kputney@cmpd.org,1,704-336-2338​​,Charlotte,NC
Governor,1,Roy Cooper,https://governor.nc.gov/contact/contact-governor-cooper,,919-814-2000,North Carolina,NC
Senator,2,Richard Burr,https://www.burr.senate.gov/contact/email,2,336-631-5125,North Carolina,NC
Senator,2,Thom Tillis,info@thomtillis.com,1,919-856-4630,North Carolina,NC
Governor,1,Pete Ricketts,https://governor.nebraska.gov/contact-form,2,402-471-2244,Nebraska,NE
Senator,2,Ben Sasse,ben_sasse@sasse.senate.gov,1,402-476-1400,Nebraska,NE
Senator,2,Deb Fischer,https://www.fischer.senate.gov/public/?p=email-deb,2,402-441-4600,Nebraska,NE
Mayor,1,Jean Stothert,hotline@cityofomaha.org,1,402-444-5000,Omaha,NE
District Attorney,3,Donald W. Kleine,donald.kleine@douglascounty-ne.gov,,402-444-7040,Omaha,NE
Representative,2,Don Bacon,info@donjbacon.com,1,402-938-0300,Omaha,NE
Chief of Police,4,Todd Schmaderer,https://police.cityofomaha.org/contact-us,2,402-444-5600,Omaha,NE
Governor,1,Andrew Cuomo,https://www.governor.ny.gov/content/governor-contact-form,2,518-474-8390,New York,NY
Senator,2,Kristen Gillibrand,kg@kirstengillibrand.com,1,212-688-6262,New York,NY
Senator,2,Chuck Schumer,https://www.schumer.senate.gov/contact/email-chuck,2,212-486-4430,New York,NY
Mayor,1,Bill de Blasio,bdeblasio@cityhall.nyc.gov,1,311-639-9675,New York City,NY
District Attorney,3,Cyrus Vance Jr.,info@cyvanceforda.com ,,212-335-9000,New York City,NY
Representative,2,Carolyn Maloney,https://maloney.house.gov/contact-carolyn/email-me/email-me-zip-authenticated?submit=Go%20To%20ZIP%20Code%20Authentication,2,212-860-0606,New York City,NY
Police Comissioner,4,Dermot Shea,https://www1.nyc.gov/site/nypd/about/about-nypd/email-the-commissioner.page,2,646-610-5410,New York City,NY
Mayor,1,Andrew J. Ginther,311@columbus.gov,1,614-645-7671,Columbus,OH
Prosecuting Attorney,3,Ron O'Brein,prosecutor@franklincountyohio.gov,1,614-525-3555,Columbus,OH
Representative,2,Joyce Beatty,https://beatty.house.gov/contact/email-me,2,202-225-4324,Columbus,OH
Chief of Police,4,Thomas Quinlan,TQuinlan@columbuspolice.org,1,614-645-4640,Columbus,OH
Governor,1,Mike DeWine,https://governor.ohio.gov/wps/portal/gov/governor/contact,2,614-466-3555,Ohio,OH
Senator,2,Sherrod Brown,https://www.brown.senate.gov/contact/email,2,202-224-2315,Ohio,OH
Senator,2,Rob Portman,https://www.portman.senate.gov/meet/contact,2,202-224-3353,Ohio,OH
Governor,1,Kate Brown,https://www.oregon.gov/gov/Pages/share-your-opinion.aspx,2,503-378-4582,Oregon,OR
Senator,2,Jeff Merkley,info@jeffmerkley.com,2,202-224-3753,Oregon,OR
Senator,2,Ron Wyden,https://www.wyden.senate.gov/contact/email-ron,2,202-224-5244,Oregon,OR
Mayor,1,Ted Wheeler,mayorwheeler@portlandoregon.gov,1,503-823-4120,Portland,OR
District Attorney,3,Rod Underhill,DA@mcda.us,1,503-988-3162,Portland,OR
Representative,2,Earl Blumenauer,earl@earlblumenauer.com,2,503-231-2300,Portland,OR
Chief of Police,4,Jami Resch,https://www.portlandoregon.gov/police/index.cfm?login=1&show_message=1&category_id=1143&c=30697&action=UpdateItem&CFID=209806899&CFTOKEN=fca88f68dd27a197-E5A8DFDC-0FA6-6EFC-F8764BED357056D0,2,503-823-0008,Portland,OR
Mayor,1,Stephen K. Benjamin,shalaine.archie@columbiasc.gov,1,803-545-3075,Columbia,SC
Solicitor,3,Byron E. Gipson,gipson.byron@richlandcountysc.gov,1,803-576-1800,Columbia,SC
Representative,2,James Clyburn,jclyburn@mail.house.gov,1,803-799-1100,Columbia,SC
Chief of Police,4,William Holbrook,ChiefHolbrook@columbiasc.gov,1,803-545-3510,Columbia,SC
Governor,1,Henry McMaster,https://iqconnect.lmhostediq.com/iqextranet/EForm.aspx?__cid=FSL_SC_GOV&__fid=100000,2,803-734-2100,South Carolina,SC
Senator,2,Tim Scott,https://www.scott.senate.gov/contact/email-me,2,855-425-6324,South Carolina,SC
Senator,2,Lindsey Graham,info@lindseygraham.com,1,864-250-1417,South Carolina,SC
Mayor,1,Jim Strickland,mayor@memphistn.gov,1,901-636-6000,Memphis,TN
District Attorney,3,Amy P. Weirich,contact@tndagc.org,1,901-222-1300,Memphis,TN
Representative,2,Steve Cohen,info@stevecohen.com,1,202-225-3265,Memphis,TN
Chief of Police,4,Michael Rallings,policedirector@memphistn.gov,1,901-525-2677,Memphis,TN
Governor,1,Bill Lee,https://www.tn.gov/governor/contact-us.html,2,615-741-2001,Tennessee,TN
Senator,2,Marsha Blackburn,https://www.blackburn.senate.gov/contact_marsha,2,202-224-3344,Tennessee,TN
Senator,2,Lamar Alexander,https://www.alexander.senate.gov/public/index.cfm/email,2,202-224-4944,Tennessee,TN
Mayor,1,Eric Johnson,eric.johnson@dallascityhall.com,1,214-670-3301,Dallas,TX
District Attorney,3,John Creuzot,dallasdapress@dallascounty.org,1,214-653-3600,Dallas,TX
Representative,2,Eddie Johnson,rep.e.b.johnson@mail.house.gov,1,202-225-8885,Dallas,TX
Chief of Police,4,Reneé Hall,,1,214-671-3001,Dallas,TX
Mayor,1,Betsy Price,betsy.price@fortworthtexas.gov,1,817-392-6118,Fort Worth,TX
District Attorney,3,Sharen Wilson,http://www.sharenwilson.com/contact/,2,817-884-1400,Fort Worth,TX
Representative,2,Kay Granger,kay@kaygranger.com,1,202-225-5071,Fort Worth,TX
Representative,2,Kay Granger,https://kaygranger.house.gov/email,2,202-225-5071,Fort Worth,TX
Mayor,1,Sylvester Turner,mayor@houstontx.gov,1,713-837-0311,Houston,TX
District Attorney,3,Kim Ogg,da@dao.hctx.net,1,713-274-5800,Houston,TX
Representative,2,Sheila Jackson Lee,info@sheilajacksonlee18.com,1,202-225-3816,Houston,TX
Chief of Police,4,Art Acevedo,art.acevedo@houstonpolice.org,1,713-884-3131,Houston,TX
Governor,1,Greg Abbott,https://gov.texas.gov/apps/contact/opinion.aspx,2,512-463-2000,Texas,TX
Senator,2,Ted Cruz,https://www.cruz.senate.gov/?p=form&id=16,2,202-224-5922,Texas,TX
Senator,2,John Cornyn,info@johncornyn.com,1,202-224-2934,Texas,TX
Mayor,1,Levar Stoney,RVAmayor@richmondgov.com,1,804-646-7970,Richmond,VA
Commonwealth's Attorney,3,Colette McEachin,colette4rva@gmail.com,1,804-651-4471,Richmond,VA
Representative,2,Donald McEachin,info@donaldmceachin.com,1,202-225-6365,Richmond,VA
Chief of Police,4,William Smith,policemediarelations@richmondgov.com,1,804-646-6700,Richmond,VA
Governor,1,Ralph Northam,ralph.northam@governor.virginia.gov,1,804-786-2211,Virginia,VA
Senator,2,Mark Warner,senator@warner.senate.gov,1,202-224-2023,Virginia,VA
Senator,2,Tim Kaine,https://www.kaine.senate.gov/contact/share-your-opinion,2,202-224-4024,Virginia,VA
Mayor,1,Jenny Durkan,jenny.durkan@seattle.gov,1,206-684-4000,Seattle,WA
Attorney General,3,Bob Ferguson,https://fortress.wa.gov/atg/formhandler/ago/ContactForm.aspx,2,360-753-6200,Seattle,WA
Prosecuting Attorney,3,Dan Satterberg,dan.satterberg@kingcounty.gov,1,206-477-1200,Seattle,WA
Representative,2,Pramila Jayapal,https://jayapal.house.gov/contact/email,2,202-225-3106,Seattle,WA
Chief of Police,4,Carmen Best,opa@seattle.gov,1,206-625-5011,Seattle,WA
Governor,1,Jay Inslee,https://www.governor.wa.gov/contact/contact/send-gov-inslee-e-message,2,360-902-4111,Washington,WA
Senator,2,Maria Cantwell,https://www.cantwell.senate.gov/contact/email/form,2,206-220-6400,Washington,WA
Senator,2,Patty Murray,https://www.murray.senate.gov/public/index.cfm/contactme?force-web=1,2,206-553-5545,Washington,WA
